best m,c is 1.400000,10.940000 with error 12.235903 in direction 0
best m,c is 1.400000,10.950000 with error 12.232884 in direction 0
best m,c is 1.400000,10.960000 with error 12.229873 in direction 0
best m,c is 1.400000,10.970000 with error 12.226869 in direction 0
best m,c is 1.400000,10.980000 with error 12.223873 in direction 0
best m,c is 1.400000,10.990000 with error 12.220884 in direction 0
best m,c is 1.400000,11.000000 with error 12.217903 in direction 0
best m,c is 1.400000,11.010000 with error 12.214929 in direction 0
best m,c is 1.400000,11.020000 with error 12.211962 in direction 0
best m,c is 1.400000,11.030000 with error 12.209003 in direction 0
best m,c is 1.400000,11.040000 with error 12.206051 in direction 0
best m,c is 1.400000,11.050000 with error 12.203107 in direction 0
best m,c is 1.400000,11.060000 with error 12.200171 in direction 0
best m,c is 1.400000,11.070000 with error 12.197241 in direction 0
best m,c is 1.400000,11.080000 with error 12.194320 in direction 0
best m,c is 1.400000,11.090000 with error 12.191406 in direction 0
best m,c is 1.400000,11.100000 with error 12.188499 in direction 0
best m,c is 1.400000,11.110000 with error 12.185600 in direction 0
best m,c is 1.400000,11.120000 with error 12.182708 in direction 0
best m,c is 1.400000,11.130000 with error 12.179824 in direction 0
best m,c is 1.400000,11.140000 with error 12.176947 in direction 0
best m,c is 1.400000,11.150000 with error 12.174078 in direction 0
best m,c is 1.400000,11.160000 with error 12.171217 in direction 0
best m,c is 1.400000,11.170000 with error 12.168363 in direction 0
best m,c is 1.400000,11.180000 with error 12.165517 in direction 0
best m,c is 1.400000,11.190000 with error 12.162678 in direction 0
best m,c is 1.400000,11.200000 with error 12.159846 in direction 0
best m,c is 1.400000,11.210000 with error 12.157023 in direction 0
best m,c is 1.400000,11.220000 with error 12.154207 in direction 0
best m,c is 1.400000,11.230000 with error 12.151398 in direction 0
best m,c is 1.400000,11.240000 with error 12.148597 in direction 0
best m,c is 1.400000,11.250000 with error 12.145804 in direction 0
best m,c is 1.400000,11.260000 with error 12.143018 in direction 0
best m,c is 1.400000,11.270000 with error 12.140240 in direction 0
best m,c is 1.400000,11.280000 with error 12.137469 in direction 0
best m,c is 1.400000,11.290000 with error 12.134706 in direction 0
best m,c is 1.400000,11.300000 with error 12.131951 in direction 0
best m,c is 1.400000,11.310000 with error 12.129203 in direction 0
best m,c is 1.400000,11.320000 with error 12.126463 in direction 0
best m,c is 1.400000,11.330000 with error 12.123730 in direction 0
best m,c is 1.400000,11.340000 with error 12.121005 in direction 0
best m,c is 1.400000,11.350000 with error 12.118288 in direction 0
best m,c is 1.400000,11.360000 with error 12.115579 in direction 0
