Time elapsed was 318399340331ns or 318.399340331s
Time elapsed was 319334738725ns or 319.334738725s
Time elapsed was 320459878430ns or 320.459878430s
Time elapsed was 318048715468ns or 318.048715468s
Time elapsed was 317579191495ns or 317.579191495s
Time elapsed was 317507191685ns or 317.507191685s
Time elapsed was 319357247146ns or 319.357247146s
Time elapsed was 317873367816ns or 317.873367816s
Time elapsed was 322871039292ns or 322.871039292s
Time elapsed was 318776177580ns or 318.776177580s
